user_id,rfm_segment,offer_type,offer_date,discount_pct,converted,order_value
1515915625353286099,Lost,control,2021-03-05,0,False,
1515915625353457259,Lost,email_discount,2021-03-06,10,False,
1515915625353534622,Lost,control,2021-03-23,0,False,
1515915625353561691,Lost,control,2021-03-03,0,False,
1515915625353900095,Lost,email_discount,2021-03-05,10,False,
1515915625354176736,Lost,email_discount,2021-03-01,10,False,
1515915625354561351,Can't Lose Them,control,2021-03-11,0,False,
1515915625354822642,Lost,push_cashback,2021-03-26,5,False,
1515915625354857951,Lost,control,2021-03-21,0,False,
1515915625355179497,Can't Lose Them,control,2021-03-20,0,False,
1515915625355421833,Lost,control,2021-03-01,0,False,
1515915625355635314,Lost,control,2021-03-07,0,False,
1515915625355805313,Can't Lose Them,email_discount,2021-03-15,10,False,
1515915625355947830,Lost,control,2021-03-17,0,False,
1515915625356051774,Lost,push_cashback,2021-03-29,5,False,
1515915625356175149,Lost,email_discount,2021-03-08,10,False,
1515915625356207586,Lost,push_cashback,2021-03-30,5,False,
1515915625356582255,Lost,push_cashback,2021-03-26,5,False,
1515915625356679194,Lost,push_cashback,2021-03-28,5,False,
1515915625357004601,Lost,push_cashback,2021-03-02,5,False,
1515915625357132768,Lost,email_discount,2021-03-26,10,False,
1515915625357619595,Lost,email_discount,2021-03-13,10,False,
1515915625357781243,Lost,push_cashback,2021-03-12,5,True,144.28778938679534
1515915625358197368,Lost,push_cashback,2021-03-05,5,False,
1515915625358482476,Lost,email_discount,2021-03-13,10,False,
1515915625358835858,Lost,email_discount,2021-03-06,10,False,
1515915625358848040,Lost,email_discount,2021-03-25,10,True,207.99065205889622
1515915625359453928,Lost,control,2021-03-15,0,False,
1515915625359833886,Lost,control,2021-03-30,0,False,
1515915625360911267,Lost,control,2021-03-23,0,False,
1515915625361197730,Lost,push_cashback,2021-03-22,5,False,
1515915625361283252,Lost,control,2021-03-21,0,False,
1515915625362073398,Lost,push_cashback,2021-03-22,5,False,
1515915625362094991,Lost,push_cashback,2021-03-30,5,True,139.9266271643409
1515915625363018099,Lost,control,2021-03-11,0,False,
1515915625363419728,Can't Lose Them,push_cashback,2021-03-04,5,True,119.80140429333382
1515915625363633555,Lost,control,2021-03-01,0,False,
1515915625363789844,Lost,control,2021-03-15,0,False,
1515915625364062846,Can't Lose Them,email_discount,2021-03-12,10,False,
1515915625364257701,Lost,control,2021-03-09,0,False,
1515915625364909178,Lost,email_discount,2021-03-11,10,False,
1515915625365836405,Lost,control,2021-03-05,0,False,
1515915625365972094,Lost,control,2021-03-24,0,False,
1515915625366127971,Lost,email_discount,2021-03-07,10,True,196.00015813238537
1515915625366186412,Lost,email_discount,2021-03-08,10,True,180.61785473389395
1515915625367150883,Lost,control,2021-03-01,0,False,
1515915625367438020,Lost,push_cashback,2021-03-25,5,False,
1515915625368097063,Lost,email_discount,2021-03-01,10,False,
1515915625368479327,Can't Lose Them,push_cashback,2021-03-03,5,True,192.40497353661223
1515915625368532072,At Risk,push_cashback,2021-03-08,5,False,
1515915625369332561,Lost,push_cashback,2021-03-28,5,False,
1515915625369530324,Lost,email_discount,2021-03-11,10,False,
1515915625370042064,At Risk,push_cashback,2021-03-01,5,False,
1515915625371158307,Lost,email_discount,2021-03-14,10,True,224.785594446413
1515915625371361093,Lost,push_cashback,2021-03-01,5,True,150.6813244498641
1515915625372644538,Lost,control,2021-03-06,0,False,
1515915625372908425,Lost,control,2021-03-21,0,False,
1515915625373009890,Lost,email_discount,2021-03-27,10,True,200.70202223080014
1515915625373342675,Lost,control,2021-03-06,0,False,
